Call_date,Ticker,volume,Delivery %
2026-04-09 18:30:00,HINDALCO,6013190,52.76
2026-04-08 18:30:00,HINDALCO,9386595,37.66
2026-04-07 18:30:00,HINDALCO,8174489,49.72
2026-04-06 18:30:00,HINDALCO,11877733,40.64
2026-04-05 18:30:00,HINDALCO,5555538,50.58
2026-04-01 18:30:00,HINDALCO,7698211,50.93
2026-03-31 18:30:00,HINDALCO,7777034,47.98
2026-03-29 18:30:00,HINDALCO,12727309,25.41
2026-03-26 18:30:00,HINDALCO,4104597,48.53
2026-03-24 18:30:00,HINDALCO,4491373,57.32
2026-04-23 18:30:00,TATASTEEL,22379072,51.02
2026-04-22 18:30:00,TATASTEEL,19304122,43.2
2026-04-21 18:30:00,TATASTEEL,20795714,34.09
2026-04-20 18:30:00,TATASTEEL,17427021,37.26
2026-04-19 18:30:00,TATASTEEL,24992602,42.73
2026-04-16 18:30:00,TATASTEEL,22837792,36.4
2026-04-15 18:30:00,TATASTEEL,26751249,36.69
2026-04-14 18:30:00,TATASTEEL,30858355,44.73
2026-04-12 18:30:00,TATASTEEL,25848544,29.03
2026-04-09 18:30:00,TATASTEEL,28385501,39.04
2026-04-08 18:30:00,TATASTEEL,36853400,41.54
2026-04-07 18:30:00,TATASTEEL,37018381,49.95
2026-04-06 18:30:00,TATASTEEL,32090982,42.84
2026-04-05 18:30:00,TATASTEEL,28115748,34.98
2026-04-01 18:30:00,TATASTEEL,27633959,34.97
2026-03-31 18:30:00,TATASTEEL,35813622,41.95
2026-03-29 18:30:00,TATASTEEL,45914996,39.19
2026-03-26 18:30:00,TATASTEEL,36938046,52.9
2026-03-24 18:30:00,TATASTEEL,34767360,45.6
2026-04-23 18:30:00,TITAN,958536,60.75
2026-04-22 18:30:00,TITAN,680187,49.73
2026-04-21 18:30:00,TITAN,596352,49.08
2026-04-20 18:30:00,TITAN,656106,56.24
2026-04-19 18:30:00,TITAN,1646815,61.93
2026-04-16 18:30:00,TITAN,2124034,46.87
2026-04-15 18:30:00,TITAN,1283713,52.91
2026-04-14 18:30:00,TITAN,918513,55.52
2026-04-12 18:30:00,TITAN,850456,50.22
2026-04-09 18:30:00,TITAN,1565192,59.29
2026-04-08 18:30:00,TITAN,1385274,62.92
2026-04-07 18:30:00,TITAN,3834533,55.31
2026-04-06 18:30:00,TITAN,1274146,58.81
2026-04-05 18:30:00,TITAN,1678285,52.49
2026-04-01 18:30:00,TITAN,1614868,60.04
2026-03-31 18:30:00,TITAN,781974,50.21
2026-03-29 18:30:00,TITAN,1488223,49.38
2026-03-26 18:30:00,TITAN,1040658,57.42
2026-03-24 18:30:00,TITAN,1306823,52.77
2026-04-23 18:30:00,ULTRACEMCO,349586,60.53
2026-04-22 18:30:00,ULTRACEMCO,227223,51.51
2026-04-21 18:30:00,ULTRACEMCO,312307,57.43
2026-04-20 18:30:00,ULTRACEMCO,320111,53.11
2026-04-19 18:30:00,ULTRACEMCO,335624,58.3
2026-04-16 18:30:00,ULTRACEMCO,165109,55.19
2026-04-15 18:30:00,ULTRACEMCO,308549,59.68
2026-04-14 18:30:00,ULTRACEMCO,274811,62.41
2026-04-12 18:30:00,ULTRACEMCO,220442,49.23
2026-04-09 18:30:00,ULTRACEMCO,420339,66.78
2026-04-08 18:30:00,ULTRACEMCO,330553,52.33
2026-04-07 18:30:00,ULTRACEMCO,612764,61.51
2026-04-06 18:30:00,ULTRACEMCO,263658,54.06
2026-04-05 18:30:00,ULTRACEMCO,374420,53.92
2026-04-01 18:30:00,ULTRACEMCO,333524,55.75
2026-03-31 18:30:00,ULTRACEMCO,431636,56.36
2026-03-29 18:30:00,ULTRACEMCO,632265,37.27
2026-03-26 18:30:00,ULTRACEMCO,418469,57.95
2026-03-24 18:30:00,ULTRACEMCO,456437,59.49
2026-04-23 18:30:00,HINDUNILVR,1676706,58.02
2026-04-22 18:30:00,HINDUNILVR,2063531,57.82
2026-04-21 18:30:00,HINDUNILVR,5558325,62.76
2026-04-20 18:30:00,HINDUNILVR,3217281,62.26
2026-04-19 18:30:00,HINDUNILVR,1460822,56.16
2026-04-16 18:30:00,HINDUNILVR,4882697,58.1
2026-04-15 18:30:00,HINDUNILVR,1845734,56.6
2026-04-14 18:30:00,HINDUNILVR,1552971,61.71
2026-04-12 18:30:00,HINDUNILVR,1994541,55.21
2026-04-09 18:30:00,HINDUNILVR,2144484,61.91
2026-04-08 18:30:00,HINDUNILVR,2506245,56.6
2026-04-07 18:30:00,HINDUNILVR,3794437,60.7
2026-04-06 18:30:00,HINDUNILVR,2709707,57.51
2026-04-05 18:30:00,HINDUNILVR,1661298,58.69
2026-04-01 18:30:00,HINDUNILVR,1431905,53.04
2026-03-31 18:30:00,HINDUNILVR,2028470,62.08
2026-03-29 18:30:00,HINDUNILVR,2482193,43.86
2026-03-26 18:30:00,HINDUNILVR,2789151,66.75
2026-03-24 18:30:00,HINDUNILVR,2069217,64.12
2026-04-23 18:30:00,BAJFINANCE,3982355,48.29
2026-04-22 18:30:00,BAJFINANCE,9143598,49.54
2026-04-21 18:30:00,BAJFINANCE,5759028,54.51
2026-04-20 18:30:00,BAJFINANCE,6713975,48.42
2026-04-19 18:30:00,BAJFINANCE,6184179,54.19
2026-04-16 18:30:00,BAJFINANCE,6035241,63.34
2026-04-15 18:30:00,BAJFINANCE,11805227,57.72
2026-04-14 18:30:00,BAJFINANCE,5975197,53.2
2026-04-12 18:30:00,BAJFINANCE,10723313,48.24
2026-04-09 18:30:00,BAJFINANCE,9491544,61.42
2026-04-08 18:30:00,BAJFINANCE,9457820,50.77
2026-04-07 18:30:00,BAJFINANCE,13826150,54.27
2026-04-06 18:30:00,BAJFINANCE,11569047,44.94
2026-04-05 18:30:00,BAJFINANCE,12504591,53.61
2026-04-01 18:30:00,BAJFINANCE,9113618,44.61
2026-03-31 18:30:00,BAJFINANCE,15094026,62.47
2026-03-29 18:30:00,BAJFINANCE,20377282,58.12
2026-03-26 18:30:00,BAJFINANCE,11282824,62.4
2026-03-24 18:30:00,BAJFINANCE,15995501,66.76
2026-04-23 18:30:00,ADANIPORTS,2290223,44.39
2026-04-22 18:30:00,ADANIPORTS,2406876,46.82
2026-04-21 18:30:00,ADANIPORTS,1918773,41.71
2026-04-20 18:30:00,ADANIPORTS,4276868,64.95
2026-04-19 18:30:00,ADANIPORTS,2998603,43.76
2026-04-16 18:30:00,ADANIPORTS,6024587,63.25
2026-04-15 18:30:00,ADANIPORTS,7476052,62.12
2026-04-14 18:30:00,ADANIPORTS,4415637,51.36
2026-04-12 18:30:00,ADANIPORTS,3629785,39.3
2026-04-09 18:30:00,ADANIPORTS,4026881,41.1
2026-04-08 18:30:00,ADANIPORTS,3159307,34.93
2026-04-07 18:30:00,ADANIPORTS,7636467,33.11
2026-04-06 18:30:00,ADANIPORTS,1812944,47.0
2026-04-05 18:30:00,ADANIPORTS,2519628,29.17
2026-04-01 18:30:00,ADANIPORTS,3210456,42.67
2026-03-31 18:30:00,ADANIPORTS,3684039,45.79
2026-03-29 18:30:00,ADANIPORTS,2856500,51.78
2026-03-26 18:30:00,ADANIPORTS,2667313,58.26
2026-03-24 18:30:00,ADANIPORTS,1856531,43.54
2026-04-23 18:30:00,ONGC,11789941,55.62
2026-04-22 18:30:00,ONGC,13525025,47.32
2026-04-21 18:30:00,ONGC,7395183,53.93
